🤠雷蒙影视直播,#genre#
CCTV-1综合,http://play.kankanlive.com/live/1698234869325962.m3u8$雷蒙影视•IPV4『线路6』
CCTV-2财经,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20260630110819&Channel_ID=0116_2600037000-99000-200300220113644&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=125.211.195.56&SecurityKey=20260630110819&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5f6eafcfc62116e99f68abab5c9ff493$雷蒙影视•IPV4
CCTV-3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260630112618&Channel_ID=0116_2600037000-99000-200300220113680&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=125.211.195.103&SecurityKey=20260630112618&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=d6a679aaf79f17d745e361c77072fed0$雷蒙影视•IPV4『线路1』
CCTV-3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260630112552&Channel_ID=0116_2600037000-99000-200300220113679&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=125.211.195.102&SecurityKey=20260630112552&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6d56bc35056fed26aaf333d42f80fe72$雷蒙影视•IPV4『线路2』
CCTV-3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260630112356&Channel_ID=0116_2600037000-99000-200300220113678&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=125.211.195.83&SecurityKey=20260630112356&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b69219399440e545e83b113f4b4d8e7d$雷蒙影视•IPV4『线路3』
CCTV-3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260630112041&Channel_ID=0116_2600037000-99000-200300220113671&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=125.211.195.75&SecurityKey=20260630112041&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=0e93179ae34637d28d7570d1ba80e5ad$雷蒙影视•IPV4『线路4』
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv4hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260630114354&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=122.13.25.202&SecurityKey=20260630114354&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=df7702457163ad67ab1acaf43560a860&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791032416&prlId=4f89b0f1d885527a227fd4a636419cfe1782791032468&jid=4f89b0f1d885527a227fd4a636419cfe1782791031276V&is_advertise=0&sjid=subsession_1782791063783&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=89a4f80663d97092d17ee7f02839648b$雷蒙影视•IPV4『线路1』
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260630112232&Channel_ID=0116_2600037000-99000-200300220113675&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=125.211.195.79&SecurityKey=20260630112232&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f2c7c60d560132c091e2a82d635b94b6$雷蒙影视•IPV4『线路2』
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv4hd265/51/20191230/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260630115825&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=120.86.99.153&SecurityKey=20260630115825&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=627692ef4f0f6d89e39fe068862f03fa&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791902833&prlId=4f89b0f1d885527a227fd4a636419cfe1782791902843&jid=4f89b0f1d885527a227fd4a636419cfe1782791902351V&is_advertise=0&sjid=subsession_1782791935017&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d240e2bbd7c04df0c68b597c1ab355c5$雷蒙影视•IPV4『线路3』
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260630112205&Channel_ID=0116_2600037000-99000-200300220113674&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=125.211.195.78&SecurityKey=20260630112205&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=eab39d6f5def8b9fe58b2755babdd0bf$雷蒙影视•IPV4『线路4』
CCTV-4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260630111943&Channel_ID=0116_2600037000-99000-200300220113669&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=125.211.195.73&SecurityKey=20260630111943&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=fc51b56cb85f0217ec3fb124f9620c11$雷蒙影视•IPV4『线路5』
CCTV-5体育,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20260630111501&Channel_ID=0116_2600037000-99000-200300220113658&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=125.211.195.67&SecurityKey=20260630111501&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=0ae5dd29ed19384e2be5131f4dbf89ef$雷蒙影视•IPV4
CCTV-5+体育赛事,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20260630114553&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=122.13.25.182&SecurityKey=20260630114553&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=972d47c4f571a7976dcd633c0dae548b&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791150490&prlId=4f89b0f1d885527a227fd4a636419cfe1782791150502&jid=4f89b0f1d885527a227fd4a636419cfe1782791149855V&is_advertise=0&sjid=subsession_1782791260851&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c5c809fbd0897dff1178c29eb4dc18f7$雷蒙影视•IPV4
CCTV-6电影,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv6hd265/54/20200407/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260630115252&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=58.251.252.80&SecurityKey=20260630115252&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=e93cf0a2a8493a6392bc25ef71a47a91&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791569794&prlId=4f89b0f1d885527a227fd4a636419cfe1782791569803&jid=4f89b0f1d885527a227fd4a636419cfe1782791569483V&is_advertise=0&sjid=subsession_1782791679447&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d2e6ed52a1c748fb392305fd5561e12a$雷蒙影视•IPV4『线路1』
CCTV-6电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260630112824&Channel_ID=0116_2600037000-99000-200300220113684&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=125.211.195.107&SecurityKey=20260630112824&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=9826ca51f13066374f3d005d76a22cd6$雷蒙影视•IPV4『线路2』
CCTV-6电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260630112758&Channel_ID=0116_2600037000-99000-200300220113683&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=125.211.195.106&SecurityKey=20260630112758&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=62593a5edf649d186a92cdadf26b26ca$雷蒙影视•IPV4『线路3』
CCTV-6电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260630111435&Channel_ID=0116_2600037000-99000-200300220113657&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=125.211.195.66&SecurityKey=20260630111435&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=58c318f17be9a99926e8b87440756897$雷蒙影视•IPV4『线路4』
CCTV-7国防军事,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/51/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20260630114800&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=122.13.25.207&SecurityKey=20260630114800&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=a070797fa52edfca4fba47be455789ec&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791277900&prlId=4f89b0f1d885527a227fd4a636419cfe1782791277943&jid=4f89b0f1d885527a227fd4a636419cfe1782791277109V&is_advertise=0&sjid=subsession_1782791387300&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=50093bd092a95b98997991cdac29b42a$雷蒙影视•IPV4
CCTV-8电视剧,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv8hd265/54/20200407/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260630115616&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=58.251.252.228&SecurityKey=20260630115616&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=eb5604fea47f9b1bf1965a5b84c443de&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791774085&prlId=4f89b0f1d885527a227fd4a636419cfe1782791774114&jid=4f89b0f1d885527a227fd4a636419cfe1782791773698V&is_advertise=0&sjid=subsession_1782791880314&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=407193e726e11da437f4d15ce02970c7$雷蒙影视•IPV4『线路1』
CCTV-8电视剧,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260630112938&Channel_ID=0116_2600037000-99000-200300220113686&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=125.211.195.109&SecurityKey=20260630112938&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=cfa9c619f3ab499276756a4666dc5433$雷蒙影视•IPV4『线路2』
CCTV-8电视剧,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260630112853&Channel_ID=0116_2600037000-99000-200300220113685&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=125.211.195.108&SecurityKey=20260630112853&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=e65b69e73dc8f91be8054cebdd8b7483$雷蒙影视•IPV4『线路3』
CCTV-8电视剧,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260630111315&Channel_ID=0116_2600037000-99000-200300220113654&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=125.211.195.63&SecurityKey=20260630111315&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=614abe30e4c1853a5b6470dc098f912c$雷蒙影视•IPV4『线路4』
CCTV-9纪录,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/51/01.m3u8?msisdn=4f89b0f1d885527a227fd4a636419cfe&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20260630115031&Channel_ID=0116_2600031500-99000-200300140100004&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=58.251.252.81&SecurityKey=20260630115031&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&mtv_session=fb98b346ed009828969d1e3f47f8a510&sv=10004&ct=android&playUrlSsn=4f89b0f1d885527a227fd4a636419cfe1782791429022&prlId=4f89b0f1d885527a227fd4a636419cfe1782791429029&jid=4f89b0f1d885527a227fd4a636419cfe1782791428660V&is_advertise=0&sjid=subsession_1782791533149&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=2cafca66d83091b9e4cbb4ce864d32e3$雷蒙影视•IPV4
CCTV-10科教,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20260630111156&Channel_ID=0116_2600037000-99000-200300220113651&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=125.211.195.60&SecurityKey=20260630111156&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=297893b3351b6a30edf093cd3e6db092$雷蒙影视•IPV4
CCTV-11戏曲,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5500988610&pid=2028597139&timestamp=20260630111114&Channel_ID=0116_2600037000-99000-200300220113650&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=125.211.195.59&SecurityKey=20260630111114&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=1a90c0d9dd4952bfdb0d9bddf4b6c561$雷蒙影视•IPV4
CCTV-12社会与法,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=5501083627&pid=2028597139&timestamp=20260630111048&Channel_ID=0116_2600037000-99000-200300220113649&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=125.211.195.58&SecurityKey=20260630111048&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=6ccc25dafbffae074975394bd701b4cc$雷蒙影视•IPV4
CCTV-13新闻,http://hlsztemgsplive.miguvideo.com:8080/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=f863b466d46e2ff46401579155d4a125&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20260630110917&Channel_ID=0116_2600037000-99000-200300220113646&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=125.211.195.57&SecurityKey=20260630110917&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-9.6.1.6-SNAPSHOT&userid=1834153345&jmhm=f863b466d46e2ff46401579155d4a125&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ba1c0349f625f5b7f3d7d033a9957f02$雷蒙影视•IPV4
