更新时间,#genre#
20250111-09-46-34,url


speed,RespoTime,whitelist,#genre#
1007.1KB/S,1629.08ms,CCTV-15音乐,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv15
997.0KB/S,770.09ms,CCTV-14少儿,http://39.134.136.161:6610/000000001000/5000000010000030810/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000030810
978.0KB/S,503.88ms,CCTV-1综合,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
975.4KB/S,1797.77ms,CCTV-8电视剧,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv8
972.5KB/S,455.06ms,CCTV-3综艺,http://z.b.bkpcp.top/m.php?id=cctv3
971.3KB/S,1203.97ms,延边卫视,https://live.ybtvyun.com/video/s10006-2f92b9e0b123/index.m3u8
964.6KB/S,3093.73ms,CCTV-12社会与法,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv12
963.9KB/S,1832.62ms,CCTV-4中文国际,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv4o
945.1KB/S,1819.30ms,CCTV-9纪录,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv9
924.2KB/S,3294.38ms,CCTV-9纪录,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv9
920.7KB/S,1814.83ms,CCTV-17农业农村,http://z.b.bkpcp.top/m.php?id=cctv17
919.9KB/S,321.20ms,CCTV-5体育,http://z.b.bkpcp.top/m.php?id=cctv5
919.1KB/S,1083.17ms,CCTV-2财经,http://z.b.bkpcp.top/m.php?id=cctv2
917.2KB/S,1789.16ms,CCTV-12社会与法,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv12
916.6KB/S,1645.61ms,CCTV-4中文国际,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv4
903.7KB/S,437.80ms,天津卫视,http://183.3.134.56:9901/tsfile/live/0135_1.m3u8
901.1KB/S,1835.30ms,CCTV-11戏曲,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv11
894.3KB/S,967.26ms,北京卫视,http://39.134.136.161:6610/000000001000/1000000005000265027/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000265027
892.8KB/S,434.25ms,CCTV-2财经,http://144.52.160.109:9901/tsfile/live/1001_1.m3u8
885.3KB/S,1632.04ms,CCTV-14少儿,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv14
882.9KB/S,939.45ms,北京卫视,http://39.134.136.161:6610/000000001000/5000000004000031556/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000031556
875.7KB/S,1961.03ms,CCTV-6电影,http://z.b.bkpcp.top/m.php?id=cctv6
870.3KB/S,4145.73ms,CCTV-11戏曲,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv11
859.8KB/S,3321.43ms,CCTV-7国防军事,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv7
855.8KB/S,433.16ms,CCTV-15音乐,http://183.3.134.56:9901/tsfile/live/0015_1.m3u8
855.1KB/S,1611.76ms,CCTV-7国防军事,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv7
804.8KB/S,2884.17ms,CCTV-5+体育赛事,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv5p
793.1KB/S,954.62ms,河南卫视,http://39.134.136.161:6610/000000001000/1000000002000027731/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000027731
782.8KB/S,490.32ms,CCTV-1综合,http://219.145.93.74:9999/tsfile/live/0001_1.m3u8
777.9KB/S,950.03ms,河南卫视,http://39.134.136.161:6610/000000001000/5000000011000031119/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031119
777.1KB/S,473.74ms,重庆卫视,http://59.48.75.130:3052/tsfile/live/0130_1.m3u8
776.5KB/S,474.34ms,深圳卫视,http://59.48.75.130:3052/tsfile/live/0123_1.m3u8
775.3KB/S,1775.09ms,CCTV-10科教,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv10
772.6KB/S,473.73ms,广东卫视,http://59.48.75.130:3052/tsfile/live/0121_1.m3u8
772.5KB/S,1434.93ms,CCTV-5+体育赛事,http://219.128.121.202:59901/tsfile/live/1005_1.m3u8
768.6KB/S,1627.06ms,CCTV-5+体育赛事,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5p
766.2KB/S,573.98ms,新疆卫视,http://106.124.91.222:9901/tsfile/live/21212_1.m3u8
740.1KB/S,3483.92ms,CCTV-3综艺,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv3
730.9KB/S,1605.22ms,CCTV-3综艺,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv3
730.6KB/S,953.69ms,云南卫视,http://39.134.136.161:6610/000000001000/5000000006000040019/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000006000040019
725.9KB/S,967.72ms,北京卫视,http://39.134.136.161:6610/000000001000/6000000001000020451/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=6000000001000020451
718.7KB/S,1795.74ms,CCTV-17农业农村,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv17
713.0KB/S,134.97ms,海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
710.6KB/S,3744.26ms,CCTV-17农业农村,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv17
705.1KB/S,2183.01ms,CCTV-1综合,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv1
704.5KB/S,1825.43ms,CCTV-13新闻,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv13
702.6KB/S,763.22ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/5000000002000020548/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000020548
694.1KB/S,3567.75ms,CCTV-1综合,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv1
687.0KB/S,456.82ms,CCTV-2财经,http://220.170.241.204:9901/tsfile/live/0002_1.m3u8
672.1KB/S,1823.51ms,CCTV-2财经,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv2
671.4KB/S,970.30ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/1000000001000011218/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000011218
669.2KB/S,2586.44ms,CCTV-2财经,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv2
668.3KB/S,1778.27ms,CCTV-6电影,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv6
660.3KB/S,1604.04ms,CCTV-13新闻,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv13
644.9KB/S,2634.43ms,CCTV-5体育,http://8.138.90.107/公众号【睡眼迷离的猫】/mg.php?id=cctv5
644.9KB/S,490.34ms,湖北卫视,http://221.224.4.170:1111/tsfile/live/0132_1.m3u8
643.9KB/S,954.34ms,湖南卫视,http://39.134.136.161:6610/000000001000/6837496099179515295/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=6837496099179515295
638.2KB/S,585.44ms,重庆卫视,http://61.136.67.238:50085/tsfile/live/0142_1.m3u8
628.9KB/S,457.60ms,贵州卫视,http://219.145.93.74:9999/tsfile/live/0112_1.m3u8
628.1KB/S,961.43ms,CCTV-16奥林匹克,http://39.134.136.161:6610/000000001000/5000000008000023254/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000008000023254
627.9KB/S,495.83ms,山东卫视,http://112.101.78.50:9901/tsfile/live/0131_1.m3u8
622.6KB/S,3165.61ms,CCTV-5体育,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5
614.7KB/S,472.44ms,河北卫视,http://59.48.75.130:3052/tsfile/live/0136_1.m3u8
602.2KB/S,456.97ms,北京卫视,http://219.145.93.74:9999/tsfile/live/1007_1.m3u8
601.0KB/S,964.41ms,北京卫视,http://39.134.136.161:6610/000000001000/6356396163691637298/index.m3u8?livemode=1&stbId=test&channel-id=hnbblive&Contentid=6356396163691637298
592.0KB/S,487.33ms,CCTV-5+体育赛事,http://218.89.240.144:59901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
587.1KB/S,939.55ms,云南卫视,http://39.134.136.161:6610/000000001000/1000000002000024694/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000024694
580.0KB/S,467.75ms,CCTV-8电视剧,http://59.48.75.130:3052/tsfile/live/0009_1.m3u8
577.9KB/S,485.40ms,CCTV-16奥林匹克,http://223.166.234.9:7777/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
574.2KB/S,453.90ms,CCTV-5体育,http://219.159.91.10:9901/tsfile/live/0005_1.m3u8
563.3KB/S,801.61ms,北京卫视,http://221.224.4.170:1111/tsfile/live/0122_1.m3u8
562.8KB/S,820.36ms,兵团卫视,http://112.101.78.50:9901/tsfile/live/0115_1.m3u8
550.5KB/S,472.24ms,江苏卫视,http://219.145.93.74:9999/tsfile/live/1008_1.m3u8
544.7KB/S,501.29ms,CCTV-8电视剧,http://42.49.148.241:9901/tsfile/live/0008_1.m3u8
532.9KB/S,494.20ms,CCTV-2财经,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
532.5KB/S,557.84ms,河南卫视,http://61.136.67.238:50085/tsfile/live/0016_1.m3u8
523.5KB/S,447.36ms,江西卫视,http://221.224.4.170:1111/tsfile/live/0138_1.m3u8
520.9KB/S,440.14ms,重庆卫视,http://111.14.181.15:9901/tsfile/live/0142_1.m3u8
515.5KB/S,498.62ms,CCTV-1综合,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8
489.0KB/S,474.41ms,CCTV-15音乐,http://222.169.85.8:9901/tsfile/live/0015_1.m3u8
487.5KB/S,404.48ms,安徽卫视,http://183.136.148.214:9901/tsfile/live/0130_1.m3u8
485.0KB/S,734.56ms,CCTV-10科教,http://221.224.4.170:1111/tsfile/live/0010_1.m3u8
478.0KB/S,971.56ms,云南卫视,http://39.134.136.161:6610/000000001000/6810887655606226378/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=6810887655606226378
474.1KB/S,807.56ms,CCTV-14少儿,http://221.224.4.170:1111/tsfile/live/0014_1.m3u8
473.9KB/S,651.17ms,CCTV-9纪录,http://221.224.4.170:1111/tsfile/live/0009_1.m3u8
471.9KB/S,497.91ms,天津卫视,http://60.210.100.54:352/tsfile/live/0135_1.m3u8
470.6KB/S,646.02ms,CCTV-15音乐,http://59.48.75.130:3052/tsfile/live/0015_1.m3u8
470.2KB/S,928.06ms,云南卫视,http://39.134.136.161:6610/000000001000/8567124785369040339/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=8567124785369040339
467.5KB/S,467.10ms,天津卫视,http://221.224.4.170:1111/tsfile/live/0135_1.m3u8
467.1KB/S,461.15ms,CCTV-5+体育赛事,http://220.170.241.204:9901/tsfile/live/0016_1.m3u8
466.1KB/S,956.04ms,湖南卫视,http://39.134.136.161:6610/000000001000/6954818217931477266/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=6954818217931477266
465.8KB/S,868.62ms,CCTV-12社会与法,http://221.224.4.170:1111/tsfile/live/0012_1.m3u8
463.2KB/S,505.02ms,深圳卫视,http://60.210.100.54:352/tsfile/live/0126_1.m3u8
456.8KB/S,471.38ms,浙江卫视,http://219.145.93.74:9999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
455.2KB/S,944.48ms,CCTV-14少儿,http://39.134.136.161:6610/000000001000/1000000001000021973/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000021973
452.9KB/S,407.24ms,CCTV-7国防军事,http://183.136.148.214:9901/tsfile/live/0007_1.m3u8
452.8KB/S,815.10ms,重庆卫视,http://221.224.4.170:1111/tsfile/live/0142_1.m3u8
452.1KB/S,434.40ms,东方卫视,http://144.52.160.109:9901/tsfile/live/1027_1.m3u8
450.4KB/S,459.01ms,广东卫视,http://219.145.93.74:9999/tsfile/live/1006_1.m3u8
449.8KB/S,477.76ms,重庆卫视,http://219.145.93.74:9999/tsfile/live/0138_1.m3u8
446.3KB/S,713.02ms,CCTV-7国防军事,http://221.224.4.170:1111/tsfile/live/0007_1.m3u8
444.5KB/S,732.40ms,黑龙江卫视,http://221.224.4.170:1111/tsfile/live/0143_1.m3u8
443.8KB/S,550.76ms,天津卫视,http://61.136.67.238:50085/tsfile/live/0135_1.m3u8
443.0KB/S,506.62ms,CCTV-5体育,http://118.122.189.74:9901/tsfile/live/0006_1.m3u8
442.1KB/S,399.46ms,江西卫视,http://183.136.148.214:9901/tsfile/live/0138_1.m3u8
439.7KB/S,500.05ms,广东卫视,http://60.210.100.54:352/tsfile/live/0125_1.m3u8
436.8KB/S,821.78ms,CCTV-6电影,http://221.224.4.170:1111/tsfile/live/0006_1.m3u8
436.1KB/S,949.17ms,湖南卫视,http://39.134.136.161:6610/000000001000/8655038471675748531/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=8655038471675748531
434.2KB/S,564.65ms,CCTV-13新闻,http://61.136.67.238:50085/tsfile/live/0013_1.m3u8
433.7KB/S,1259.19ms,湖南卫视,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8
431.7KB/S,781.60ms,CCTV-8电视剧,http://221.224.4.170:1111/tsfile/live/0008_1.m3u8
428.4KB/S,550.53ms,东南卫视,http://61.136.67.238:50085/tsfile/live/0137_1.m3u8
423.5KB/S,131.61ms,海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
422.8KB/S,472.26ms,东南卫视,http://59.48.75.130:3052/tsfile/live/0125_1.m3u8
421.7KB/S,950.71ms,云南卫视,http://39.134.136.161:6610/000000001000/6546334374314681368/index.m3u8?livemode=1&stbId=test&channel-id=hnbblive&Contentid=6546334374314681368
421.0KB/S,773.75ms,浙江卫视,http://221.224.4.170:1111/tsfile/live/0124_1.m3u8
415.3KB/S,460.71ms,CCTV-15音乐,http://220.170.241.204:9901/tsfile/live/0015_1.m3u8
409.7KB/S,2225.19ms,东南卫视,http://221.224.4.170:1111/tsfile/live/0137_1.m3u8
405.6KB/S,434.75ms,东南卫视,http://144.52.160.109:9901/tsfile/live/1031_1.m3u8
401.7KB/S,544.15ms,云南卫视,http://112.101.78.50:9901/tsfile/live/0119_1.m3u8
401.0KB/S,1037.31ms,CCTV-5体育,http://221.224.4.170:1111/tsfile/live/0005_1.m3u8
400.3KB/S,506.26ms,CCTV-17农业农村,http://60.210.100.54:352/tsfile/live/0019_1.m3u8
400.0KB/S,474.99ms,甘肃卫视,http://59.48.75.130:3052/tsfile/live/1001_1.m3u8
398.8KB/S,471.85ms,新疆卫视,http://59.48.75.130:3052/tsfile/live/1004_1.m3u8
398.7KB/S,794.71ms,湖南卫视,http://221.224.4.170:1111/tsfile/live/0128_1.m3u8
